"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"CONN","Conn's, Inc.","796","bmo","-0.02","0.26","+0.28","+1,400.00%","14.17%",""
"ZUMZ","Zumiez Inc.","429","amc","-0.06","-0.02","+0.04","+66.67%","23.48%",""
"TLRD","Tailored Brands...","653","amc","0.88","1.14","+0.26","+29.55%","-7.37%",""
"DTEA","Davidstea Inc.","121","amc","-0.14","-0.12","+0.02","+14.29%","-0.98%",""
"JW.A","John Wiley & So...","3,026","bmo","0.53","0.59","+0.06","+11.32%","-2.72%",""
"BRC","Brady Corporati...","1,965","bmo","0.46","0.48","+0.02","+4.35%","6.33%",""
"VISI","Volt Informatio...","50","amc","-0.28","-0.27","+0.01","+3.57%","-4.92%",""
"FNSR","Finisar Corpora...","2,465","amc","0.40","0.40","0.00","0.00%","-4.73%",""
"PAY","Verifone System...","2,247","amc","0.36","0.36","0.00","0.00%","0.67%",""
"SAIC","Science Applica...","2,936","amc","0.91","0.89","-0.02","-2.20%","-18.22%",""
"DCI","Donaldson Compa...","6,085","bmo","0.53","0.51","-0.02","-3.77%","-6.81%",""
"BKS","Barnes & Noble,...","534","bmo","-0.14","-0.15","-0.01","-7.14%","-9.55%",""
"FCEL","Fuelcell Energy...","125","bmo","-0.23","-0.31","-0.08","-34.78%","1.33%",""
"SIGM","Sigma Designs,...","245","amc","-0.17","-0.23","-0.06","-35.29%","-1.63%",""
"AOBC","American Outdoo...","780","amc","0.11","0.02","-0.09","-81.82%","-17.83%",""
"CHKE","Cherokee Inc.","33","amc","0.01","-0.05","-0.06","-600.00%","-16.13%",""
"BV","Bazaarvoice, In...","434","amc","0.00","0.04","--","--","5.32%",""
"CLDR","Cloudera, Inc.","2,086","amc","-0.25","--","--","--","-1.96%",""
"OKTA","Okta, Inc.","2,559","amc","-0.26","--","--","--","11.73%",""
"REVG","Rev Group, Inc....","1,723","amc","0.29","--","--","--","4.17%",""
"TNTR","Tintri, Inc.","94","amc","-1.02","--","--","--","-31.89%",""